# Comments start with a hashtag because of how CSV is read,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>","<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,
Resource,Website,Hotline Phone/Text,Resource Description,Keywords,Region/Language
American Chronic Pain Association,"<a href=""https://www.theacpa.org/"" target=""_blank"">American Chronic Pain Association</a>",,"An organization that provides education and support for people with pain. Their website includes information about clinical trials, conditions and treatments, and pain management.","disability, education, support",
Anger Diary,"<a href=""https://www.therapistaid.com/worksheets/anger-diary.pdf"" target=""_blank"">Anger Diary</a>",,A means for reflecting on anger triggers and responses.,mental health,
Anti-depressant skills workbook,"<a href=""https://d3mh72llnfrpe6.cloudfront.net/wp-content/uploads/2018/02/09210135/asw-english.pdf"" target=""_blank"">Anti-depressant skills workbook</a>",,This book teaches you about depression and about antidepressant skills you can use to manage depression.,mental health,
Anti-Violence Project (AVP),"<a href=""https://avp.org/get-help/call-our-hotline/"" target=""_blank"">Anti-Violence Project (AVP)</a>","<a href=""tel:+1212-714-1141"">1.212.714.1141</a>","AVP empowers lesbian, gay, bisexual, transgender, queer, and HIV-affected communities and allies to end all forms of violence through organizing and education, and supports survivors through counseling and advocacy.Has a 24/7 hotline for those who have experienced or witnessed violence personally, or are worried about someone else who has. Also offers support in Spanish.","LGBTQ, general, hotline",Español
Anxiety and Depression Association of America Online Resources,"<a href=""https://adaa.org/living-with-anxiety/ask-and-learn/resources"" target=""_blank"">Anxiety and Depression Association of America Online Resources</a>",,Online Resources on a variety of topics regarding to mental health.,mental health,
Art Therapy,"<a href=""https://www.mombooks.com/mom/online-activities"" target=""_blank"">Art Therapy</a>",,"Digital activities page from Michael O’Mara Books, including a host of online colouring activities, quizzes, and downloadable extras. You can color these 'live' online or print out downloadable pages.","general, coping",
Asexual Visibility and Education Network,"<a href=""https://asexuality.org/"" target=""_blank"">Asexual Visibility and Education Network</a>",,"Resources on asexuality, including FAQs for family and friends.","LGBTQ, education",
Assistive Tech,"<a href=""http://assistivetech.net/search/products_for_disability.php"" target=""_blank"">Assistive Tech</a>",,A database of assistive products for people people with disabilities.,"disability, support",
Aunt Bertha (free/reduced cost resources),"<a href=""https://www.auntbertha.com/"" target=""_blank"">Aunt Bertha (free/reduced cost resources)</a>",,"Search for free or reduced cost services like medical care, food, job training, and more.",general,
Autism Source,"<a href=""https://source.autism-society.org/autismsource/"" target=""_blank"">Autism Source</a>",,A database of services and resources for autistic individuals and their families.,"disability, general, support",
Bee's Fund Microgrants,"<a href=""https://www.stonewallfoundation.org/grants"" target=""_blank"">Bee's Fund Microgrants</a>",,"Awarded to help lesbian, bisexual, transgender, and queer women as well as non-binary and gender nonconforming individuals who have lost family support because of their sexual orientation or gender identity. Applicants must be between 16 and 26 years old and reside in the United States.","LGBTQ, general",
BeeLine Reader,"<a href=""https://www.beelinereader.com/"" target=""_blank"">BeeLine Reader</a>",,"A number of apps, extensions, and more that add a color gradient to text that can reduce screen fatigue and increase reading speed. Prices are clearly labeled, and they offer a student discount.","disability, education",
Believe Out Loud,"<a href=""https://www.believeoutloud.com/"" target=""_blank"">Believe Out Loud</a>",,"A community that affirms that ALL people are worthy of G-d's love, with resources for finding affirming faith communities.","LGBTQ, religion",
Beyond the Professoriate,"<a href=""https://beyondprof.com/"" target=""_blank"">Beyond the Professoriate</a>",,"Resources for helping graduate students and people with PhDs have meaningful careers in industry, non-profits, higher education administration, faculty, and the private sector.","STEMM, career",
Birth Control Across the Gender Spectrum,"<a href=""https://www.reproductiveaccess.org/wp-content/uploads/2018/06/bc-across-gender-spectrum.pdf"" target=""_blank"">Birth Control Across the Gender Spectrum</a>",,A PDF guide comparing and contrasting different birth control methods using gender-inclusive language.,"LGBTQ, health",
Birthing and Breast or Chestfeeding Trans People and Allies,"<a href=""https://www.facebook.com/groups/TransReproductiveSupport/"" target=""_blank"">Birthing and Breast or Chestfeeding Trans People and Allies</a>",,"Facebook group with information and experiences about pregnancy, birth, and nursing among trans and genderfluid/neutral people.","LGBTQ, gender identity, health",
Black Emotional and Mental Health Collective,"<a href=""https://www.beam.community/"" target=""_blank"">Black Emotional and Mental Health Collective</a>",,"Resources, tool kits, and training dedicated to the emotional and mental health and healing of Black communities.",mental health,
Black Trans COVID-19 Community Response Grant,"<a href=""https://blacktrans.org/coronavirus-grant/"" target=""_blank"">Black Trans COVID-19 Community Response Grant</a>",,Micro grants for trans people of color.,COVID-19,
Black Trans Free COVID-19 Care Packages,"<a href=""https://blacktrans.org/services/care-package/"" target=""_blank"">Black Trans Free COVID-19 Care Packages</a>",,Care packages with personal protective equipment for trans people of color.,COVID-19,
Blackboard Ally File Transformer,"<a href=""https://ally.ac/covid19/"" target=""_blank"">Blackboard Ally File Transformer</a>",,"Converts from common file formats to more accessible file formats, including electronic braille and Beeline Reader.","disability, COVID-19",
BlackLine,"<a href=""https://www.callblackline.com/frequently-asked-questions"" target=""_blank"">BlackLine</a>","<a href=""tel:+1800-604-5841"">1.800.604.5841</a>",A 24/7 hotline dedicated to people in crisis or who have an interaction with law enforcement or vigilantes.,hotline,
Black Lives Matter Meditations,"<a href=""http://drcandicenicole.com/2016/07/black-lives-matter-meditation/"" target=""_blank"">Black Lives Matter Meditations</a>",,Audio-based meditations for healing racial trauma and cultivating an anti-racist mindset by Dr. Candice Nicole.,"mental health, coping",
Bisexual Resource Center,"<a href=""https://biresource.org/"" target=""_blank"">Bisexual Resource Center</a>",,Provides resources and support for bisexual and queer people.,LGBTQ,
Boys Town National Hotline,"<a href=""https://www.boystown.org/hotline/Pages/default.aspx"" target=""_blank"">Boys Town National Hotline</a>","<a href=""tel:+1800-448-3000"">1.800.448.3000</a> or text VOICE to <a href=""sms:20121&body=VOICE"">20121 </a>",A free resource and counseling service that assists youth and parents 24/7. Offers support in Spanish and over 100 other languages through interpretation services.,"under 18, hotline",Español
California Alliance for Minority Participation (CAMP),"<a href=""http://stemdiv.ucsc.edu/camp/"" target=""_blank"">California Alliance for Minority Participation (CAMP)</a>",,"Statewide initiative that aims to support and retain underrepresented undergraduates to achieve their degrees in the biological sciences, physical sciences, mathematics, and engineering.","STEMM, education",
Calm Harm app (self-harm strategies),"<a href=""https://calmharm.co.uk/"" target=""_blank"">Calm Harm app (self-harm coping)</a>",,Calm Harm provides tasks to help you resist or manage the urge to self-harm. Calm Harm is an app developed for teenage mental health using the basic principles of an evidence-based therapy called Dialectical Behavioral Therapy (DBT).,mental health,
Campus Pride,"<a href=""https://www.campuspride.org/"" target=""_blank"">Campus Pride</a>",,"Programs and services to create safer, more inclusive college campuses.","LGBTQ, general",
Carson's Village,"<a href=""https://carsonsvillage.org/"" target=""_blank"">Carson's Village</a>",,"Information about making funeral arrangements after the death of a loved one, and provides a timeline and links to resources.",general,
Centerlink,"<a href=""https://www.lgbtcenters.org/"" target=""_blank"">CenterLink</a>",,Network of LGBTQ+ community centers. They have a map for finding local support.,"LGBTQ, general",
Centers for Disease Control,"<a href=""https://www.cdc.gov/"" target=""_blank"">Centers for Disease Control</a>",,Publishes the guidelines people should adhere to and maintains up-to-date information about current health threats.,COVID-19,
Changing Lives by Integrating Mind and Body (CLIMB) Podcast,"<a href=""https://www.cigna.com/individuals-families/health-wellness/climb-mindfulness-podcasts"" target=""_blank"">Changing Lives by Integrating Mind and Body (CLIMB) Podcast</a>",,A podcast that helps to incorporate mindfulness and stress management in your everyday life. Available in English and Spanish,mental health,Español
Childhelp National Child Abuse Hotline,"<a href=""https://www.childhelp.org/hotline/"" target=""_blank"">Childhelp National Child Abuse Hotline</a>","<a href=""tel:+1800-422-4453"">1.800.4.A.CHILD (2.24453)</a>","A 24/7, free and confidential hotline for child abuse victims, parents, and concerned individuals serving the US and Canada. They support interpretation for 170 languages.","under 18, hotline",
Children and Adults with ADD/ADHD (CHADD),"<a href=""https://chadd.org/"" target=""_blank"">Children and Adults with ADD/ADHD (CHADD)</a>",,A clearinghouse for information on ADHD and offers support and advocacy.,"disability, support",
Científico Latino,"<a href=""https://www.cientificolatino.com"" target=""_blank"">Científico Latino</a>",,"Organization that provides mentorship, open-access resources on scholarships, fellowships and blog posts on professional development to undergraduate, graduate, and professional students.","STEMM, education",
Científico Latino Graduate Student Mentorship Initiative,"<a href=""https://www.cientificolatino.com/gsmi"" target=""_blank"">Científico Latino Graduate Student Mentorship Initiative</a>",,A mentorship program intended to connect underrepresented students applying to graduate programs with STEM professionals that have been through the graduate school process.,"STEMM, education",
Coming Out Handbook,"<a href=""https://www.thetrevorproject.org/wp-content/uploads/2019/10/Coming-Out-Handbook.pdf"" target=""_blank"">Coming Out Handbook</a>",,Book about exploring identity and think through how to share their identities with others.,"LGBTQ, education",
Coping with Gender Dysphoria,"<a href=""https://www.telethonkids.org.au/globalassets/media/documents/brain--behaviour/sparx-t/coping-with-gender-dysphoria.pdf"" target=""_blank"">Coping with Gender Dysphoria</a>",,A PDF on ways to cope with gender dysphoria.,"LGBTQ, mental health, gender identity",
Coronavirus Checker,"<a href=""https://c19check.com/start"" target=""_blank"">Coronavirus Checker</a>",,Screening tool for COVID-19 symptoms based on CDC guidelines and gives recommendations for care.,COVID-19,
Coursera,"<a href=""https://www.coursera.org/"" target=""_blank"">Coursera</a>",,Free online courses in a variety of subjects. Also pairs with universities for paid degree programs. ,"STEMM, education",
Crisis Text Line,"<a href=""https://www.crisistextline.org"" target=""_blank"">Crisis Text Line</a>","Text LGBTQ to <a href=""sms:741741&body=LGBTQ"">741-741</a>","Crisis Text Line is a global not-for-profit organization providing free confidential crisis intervention via SMS message. The organization's services are available 24 hours a day, every day, throughout the US, UK, and Canada",hotline,
Daily Strength,"<a href=""https://www.dailystrength.org/"" target=""_blank"">Daily Strength</a>",,"Support groups of a variety of topics including mental health, health, and LGBTQ.","LGBTQ, mental health, health",
DBT Behavior Chain Analysis Activity,"<a href=""https://www.dbtselfhelp.com/html/behavior_chain_analysis.html"" target=""_blank"">DBT Behavior Chain Analysis Activity</a>",,Dialectical Behavioral Therapy (DBT) activity to complete after self-harm and borderline personality disorder episodes. Used to identify triggers and gain insight into how to alter behavior patterns.,"mental health, coping",
DBT Behavior Chain Analysis Worksheet,"<a href=""https://cls.unc.edu/files/2014/10/Behavior-Chain-Analysis-Information-1.pdf"" target=""_blank"">DBT Behavior Chain Analysis Worksheet</a>",,Dialectical Behavioral Therapy (DBT) worksheet to complete after self-harm and borderline personality disorder episodes. Used to identify triggers and gain insight into how to alter behavior patterns.,"mental health, coping",
Dear Black Women Project,"<a href=""https://www.dearblackwomenproject.com/"" target=""_blank"">Dear Black Women Project</a>",,An affirmation movement for Black women by Black women. They have a daily affirmation text program.,mental health,
Distant Together,"<a href=""http://www.distanttogether.org/"" target=""_blank"">Distant Together</a>",,Mental health resources during COVID-19.,"COVID-19, mental health",
Entry Point!,"<a href=""https://www.aaas.org/programs/entry-point"" target=""_blank"">Entry Point!</a>",,"Identifies and recruits students with apparent and non-apparent disabilities who are majoring in science, engineering, mathematics, computer science, and some fields of business for internship and co-op opportunities","STEMM, education",
Equaldex,"<a href=""https://www.equaldex.com/"" target=""_blank"">Equaldex</a>",,A resource of statuses of LGBT rights and topics around the world,"LGBTQ, education",
Ergonomic Products for Laboratory Accommodations,"<a href=""https://ehs.ucsc.edu/programs/ergo/documents/lab-ergo-products.pdf"" target=""_blank"">Ergonomic Products for Laboratory Accommodations</a>",, A PDF of lab equipment and products compiled by UC Santa Cruz for accommodating people with disabilities in the lab.,"disability, education",
Familia: TQLM,"<a href=""https://familiatqlm.org/programs/"" target=""_blank"">Familia: TQLM</a>",,"Familia: Trans Queer Liberation Movement works to achieve the liberation of trans, queer, and gender non-conforming Latinx people.","LGBTQ, education",
Finding Help for Someone Else,"<a href=""https://www.mentalhealthamerica.net/im-looking-mental-health-help-someone-else"" target=""_blank"">Finding Help for Someone Else</a>",,Resource guide for people who are looking for mental health help for someone else.,"mental health, education",
Ford Fellowship,"<a href=""https://sites.nationalacademies.org/PGA/FordFellowships/index.htm"" target=""_blank"">Ford Fellowship</a>",,"A fellowship program aimed at increasing diversity at the faculty-level. Awards are at the pre-doctoral, dissertation, and post-doctoral stages.","STEMM, funding",
FTM Surgery Guide,"<a href=""https://www.ftmsurgery.net/"" target=""_blank"">FTM Surgery Guide</a>",,Directory of surgeons and describes differences between surgical procedures for trans masculine folks.,"LGBTQ, gender identity, health",
Future Docs with Disabilities Mentoring Program,"<a href=""https://twitter.com/disabled_docs/status/1292452047204290560?s=10"" target=""_blank"">Future Docs with Disabilities Mentoring Program</a>",,Rolling mentorship program for people with disabilities wanting to become physicians.,"disability, education",
Gender Spectrum,"<a href=""https://www.genderspectrum.org/resources/parenting-and-family-2/"" target=""_blank"">Gender Spectrum</a>",,"A comprehensive collection of research, resources, and stories to help any parent, family member, or guardian learn more about gender diversity.","LGBTQ, gender identity, education",
GLAAD Resource List,"<a href=""https://www.glaad.org/resourcelist"" target=""_blank"">GLAAD Resource List</a>",,"LGBTQIA+ resource list classified by various topics, including: politics, sexual orientation, gender identity, military, legal, etc.","LGBTQ, general",
Glean,"<a href=""https://glean.co/"" target=""_blank"">Glean</a>",,"A note-taking tool that can combine slides, audio recordings, and text in one place. Offers a free, unlimited access trial, and includes pricing information in their FAQ.","disability, education",
GoodRx,"<a href=""https://www.goodrx.com/"" target=""_blank"">GoodRx</a>",,"Prescription prices, coupons, and pharmacy information.",general,
Google Chrome Deadname Remover Extension,"<a href=""https://chrome.google.com/webstore/detail/deadname-remover/cceilgmnkeijahkehfcgfalepihfbcag"" target=""_blank"">Google Chrome Deadname Remover Extension</a>",,A Google Chrome browser extension that alters webpages to mask a former name/dead name.,"LGBTQ, gender identity",
Grad Write Slack,"<a href=""https://gradwritingslack.wixsite.com/gradwriteslack"" target=""_blank"">Grad Write Slack</a>",,"An virtual writing group for graduate students and post-doctoral students. The community also has discussions on mental health, self-care, motivation, goal setting, and accountability.","STEMM, education",
Graduate Student Funding Opportunities:,"<a href=""https://research.jhu.edu/rdt/funding-opportunities/graduate/"" target=""_blank"">Graduate Student Funding Opportunities:</a>",,A list of fellowships maintained by Johns Hopkins and includes deadlines and eligibility. ,"education, funding",
GRE Exit List (GRExit),"<a href=""https://beyondthegre.org/grexit/"" target=""_blank"">GRE Exit List</a>",,A list of STEM graduate programs choosing not to require GRE scores for admission.,"STEMM, education",
Guide to Allyship,"<a href=""https://guidetoallyship.com/"" target=""_blank"">Guide to Allyship</a>",,An open-source guide to being an ally to any community.,"LGBTQ, education",
HealGrief,"<a href=""https://healgrief.org/#"" target=""_blank"">HealGrief</a>",,Social support network and resources for processing grief and honoring loved ones and pets.,mental health,
Healthcare: Know Your Rights,"<a href=""https://transequality.org/know-your-rights/healthcare"" target=""_blank"">Healthcare - Know Your Rights</a>",,Information on insurance coverage and discrimination for transition-related care.,"LGBTQ, gender identity, health",
HelpGuide,"<a href=""https://www.helpguide.org/"" target=""_blank"">HelpGuide</a>",,"Evidence-based self-help articles on a variety of topics including communication, mental health, relationships, family, aging, and wellness.","general, mental health",
Help with Bills,"<a href=""https://www.usa.gov/help-with-bills"" target=""_blank"">Help with Bills</a>",,Information about government programs for temporary assistance.,COVID-19,
Help with Taxes,"<a href=""https://www.usa.gov/help-with-taxes"" target=""_blank"">Help with Taxes</a>",,Information for free assistance with US tax return preparation.,general,
Hidayah,"<a href=""https://www.hidayahlgbt.com/"" target=""_blank"">Hidayah</a>",,"Inclusive, secular UK-based organization supporting LGBTQI+ Muslims and promoting social justice.","LGBTQ, religion",UK
HIV Risk Reduction Tool,"<a href=""https://wwwn.cdc.gov/hivrisk/"" target=""_blank"">HIV Risk Reduction Tool</a>",,Information on behaviors that increase or decrease HIV transmission risk.,"LGBTQ, health",
Homeless Shelter Directory,"<a href=""https://www.homelessshelterdirectory.org/index.html"" target=""_blank"">Homeless Shelter Directory</a>",,A resource to help locate local homeless shelters and service organizations.,general,
How to Support Bisexual Youth,"<a href=""https://www.thetrevorproject.org/wp-content/uploads/2020/09/How-to-Support-Bisexual-Youth.pdf"" target=""_blank"">How to Support Bisexual Youth</a>",,A guide on how to support bisexual youth or young people who are attracted to more than one gender.,"LGBTQ, education",
How to Stay Calm During a Coronavirus Outbreak,"<a href=""https://www.wikihow.com/Deal-with-Coronavirus-Anxiety"" target=""_blank"">How to Stay Calm During a Coronavirus Outbreak</a>",,"Information on protecting yourself, managing anxiety, and setting realistic expectations.",COVID-19,
HRC State maps of laws and policies,"<a href=""https://www.hrc.org/state-maps"" target=""_blank"">HRC State maps of laws and policies</a>",,All LGBTQIA+ laws / policies broken down by state.,"LGBTQ, legal",
HRC's LGBTQ+ Scholarship Database,"<a href=""https://www.hrc.org/resources/scholarship-database"" target=""_blank"">HRC's LGBTQ+ Scholarship Database</a>",,A database divided by state of scholarships for LGBTQ+ undergraduate & graduate students.,"STEMM, funding",
Human Rights Campaign,"<a href=""https://www.hrc.org"" target=""_blank"">Human Rights Campaign</a>",,Topical information and provides scores for states and county legal protection of LGBTQ+ individuals.,"LGBTQ, general",
I'm Muslim And My Gender Doesn't Fit Me: A Resource For Trans Muslim Youth,"<a href=""https://advocatesforyouth.org/wp-content/uploads/2019/05/Im-Muslim-My-Gender-Doesnt-Fit-Me.pdf"" target=""_blank"">I'm Muslim and My Gender Doesn't Fit Me</a>",,A book for transgender Muslim youth about understanding gender and religious identity.,"LGBTQ, religion",
ILGA Sexual Orientation Travel Maps,"<a href=""https://ilga.org/maps-sexual-orientation-laws"" target=""_blank"">ILGA Sexual Orientation Travel Maps</a>",,World maps that highlight different legal restrictions for LGBTQ+ people.,"LGBTQ, education",
"ILGA World- the International Lesbian, Gay, Bixexual, Trans and Intersex Assoication","<a href=""https://ilga.org/"" target=""_blank"">ILGA World- the International Lesbian, Gay, Bixexual, Trans and Intersex Assoication</a>",,A worldwide federation that advocates for LGBT rights and provides resources on LGBT laws and issues around the world,"LGBTQ, education",
IGLTA,"<a href=""https://www.iglta.org/"" target=""_blank"">IGLTA</a>",,The world's leading network of LGBTQ welcoming tourism businesses that provides travel resources and information.,LGBTQ,
Inclusive Therapists,"<a href=""https://www.inclusivetherapists.com/"" target=""_blank"">Inclusive Therapists</a>",,"Online directory of professionals that affirm all intersectional identities and strive to be anti-discrimination, anti-oppression, anti-stigma, anti-racist & anti-ableist.","LGBTQ, health",
Integral Care,"<a href=""https://integralcare.org/en/247-crisis-helpline/"" target=""_blank"">Integral Care</a>","<a href=""tel:+1512-472-4357"">512.472.HELP (4357)</a>",A 24/7 mental health hotline with crisis support. ,"hotline, mental health",
InterACT: Advocates for Intersex Youth,"<a href=""https://interactadvocates.org/"" target=""_blank"">InterACT: Advocates for Intersex Youth</a>",,Organization that advocates for intersex youth and provides resources for intersex people.,"LGBTQ, education",
International Bipolar Foundation,"<a href=""https://ibpf.org/"" target=""_blank"">International Bipolar Foundation</a>",,Provides resources about bipolar disorder.,mental health,
Interpersonal Effectiveness in Dialectical Behavior Therapy,"<a href=""https://www.goodtherapy.org/blog/interpersonal-effectiveness-dialectical-behavior-therapy-dbt-0416134"" target=""_blank"">Interpersonal Effectiveness in Dialectical Behavior Therapy</a>",,"Information on better interpersonal communication skils, including DEAR MAN, GIVE, and FAST methods.","general, mental health",
It Gets Better Resource List,"<a href=""https://itgetsbetter.org/get-help/"" target=""_blank"">It Gets Better Resource List</a>",,Over 1100 organizations in 40+ countries supporting the LGBTQ+ community.,"LGBTQ, general",
James Madison University Chemistry REU,"<a href=""https://www.jmu.edu/chemistry/reu/"" target=""_blank"">James Madison University Chemistry REU</a>",,"An REU program that integrates Deaf, hearing, and sign language interpreting students in chemical research.","STEMM, education, disability, career",
Job Accommodation Network,"<a href=""https://askjan.org/"" target=""_blank"">Job Accomodation Network</a>",,Example ADA accomodations and resources for a more accessible workplace.,"disability, career",
Keshet,"<a href=""https://www.keshetonline.org/"" target=""_blank"">Keshet</a>",,Organization for LGBTQ+ equality in Jewish life.,"LGBTQ, religion",
KeshetUK,"<a href=""https://www.keshetuk.org/"" target=""_blank"">KeshetUK</a>",,Organization for LGBTQ+ equality in Jewish life in the UK.,"LGBTQ, religion",UK
Khan Academy,"<a href=""https://www.khanacademy.org/"" target=""_blank"">Khan Academy</a>",,"A gamified site with high-quality educational videos for a variety of courses. Also offers test-prep resources for the LSAT, Praxis, and MCAT. ","STEMM, education",
Lambda Legal,"<a href=""https://www.lambdalegal.org"" target=""_blank"">Lambda Legal</a>",,Provides information about legal rights for LGBTQIA+ people and their families on a national and state-by-state basis.,"LGBTQ, legal",
Leaving an Abusive Relationship,"<a href=""https://www.womenshealth.gov/relationships-and-safety/domestic-violence/leaving-abusive-relationship"" target=""_blank"">Leaving an Abusive Relationship</a>",,Information from the US Office on Women's Health on the things to consider when fleeing an abusive relationship or domestic violence. Includes a list of important items to pack.,general,
Learning Ally,"<a href=""https://learningally.org/Solutions-for-Home/College-Adults/Join"" target=""_blank"">Learning Ally</a>",,"Subscription-based audiobooks for people with documented print disabilities (e.g., learning, visual). Fees are clearly marked on their site.","disability, STEMM, education",
LivingWorks,"<a href=""https://www.livingworks.net/"" target=""_blank"">LivingWorks</a>",,Organization that provides evidence-based training on mental health and suicide prevention.,"mental health, education",
LGBT Centers Directory,"<a href=""https://www.lgbtcenters.org/LGBTCenters"" target=""_blank"">LGBT Centers Directory</a>",,A directory of LGBT community centers within CenterLink.,LGBTQ,
LGBT Health Services,"<a href=""https://www.cdc.gov/lgbthealth/health-services.htm"" target=""_blank"">LGBT Health Services</a>",,CDC's page on LGBT health that lists resources and clinics by state.,"LGBTQ, health",
LL - Updating and Amending School Records,"<a href=""https://www.lambdalegal.org/know-your-rights/article/youth-ferpa-faq"" target=""_blank"">LL - Updating and Amending School Records</a>",,"An FAQ on how FERPA requires schools to keep accurate records, enabling transgender students to update their information after a legal name/gender marker change, even after graduated.","LGBTQ, gender identity, legal",
Loosid app,"<a href=""https://loosidapp.com/"" target=""_blank"">Loosid app</a>",,"Loosid is an app for community-building among sober people, and for support with sobriety.",mental health,
Love Is Respect,"<a href=""https://www.loveisrespect.org/"" target=""_blank"">Love Is Respect</a>","<a href=""tel:+1866-331-9474"">1.866.331.9474</a> or TTY <a href=""tel:+1800-787-3224"">1.800.787.3224</a> or text LOVEIS to <a href=""sms:+18663319474&body=LOVEIS"">1.866.331.9474</a>",Hotline and website for information and resources on teen and young adult relationship violence and abuse. They have resources pertaining to Title IX violations.,hotline,
Managing Distress After a Shooting,"<a href=""https://www.apa.org/topics/mass-shooting"" target=""_blank"">Managing Distress After a Shooting</a>",,Tips for coping after being affected by a mass shooting.,mental health,
Map of All US Informed Consent Clinics,"<a href=""https://www.google.com/maps/d/viewer?mid=1DxyOTw8dI8n96BHFF2JVUMK7bXsRKtzA&ll=32.923285016608446%2C-96.93652308423873&z=10"" target=""_blank"">Map of All US Informed Consent Clinics</a>",,A crowd-sourced map of all the US clinics offering informed consent for hormone replacement therapy (HRT).,"LGBTQ, gender identity, health",
Mental Health First Aid,"<a href=""https://www.mentalhealthfirstaid.org/"" target=""_blank"">Mental Health First Aid</a>",,Mental Health First Aid is a skills-based training course that teaches participants about mental health and substance-use issues.,"mental health, education",
Mentorship for Underrepresented STEM Enthusiasts (MUSE),"<a href=""https://www.musementorship.com/"" target=""_blank"">Mentorship for Underrepresented STEM Enthusiasts (MUSE)</a>",,A mentorship program intended to connect underrepresented students to STEM professionals sharing their identities.,"STEMM, education",
Mermaids UK,"<a href=""https://mermaidsuk.org.uk/"" target=""_blank"">Mermaids UK</a>","<a href=""tel:+44.80880.10400"">0808.801.0400</a>","Organization supporting transgender, non-binary, and gender-diverse youth in the UK. Their site maintains a resource list about all things gender transition. They have a helpline and webchat on M-F 9a-9p BT.","under 18, hotline, LGBTQ, gender identity",UK
MHA - Talking to Your Parents About Mental Health,"<a href=""https://www.mhanational.org/time-talk-talking-your-parents"" target=""_blank"">MHA - Talking to Your Parents About Mental Health</a>",,Guidance for overcoming some comment statements that people use to avoid discussing mental health with family members.,"mental health, education",
Microsoft Ada Lovelace Fellowship,"<a href=""https://www.microsoft.com/en-us/research/academic-program/ada-lovelace-fellowship/"" target=""_blank"">Microsoft Ada Lovelace Fellowship</a>",,"A 3-year fellowship for underrepresented PhD students, explicitly including LGBTQ+ identities.","STEMM, funding",
Minority PostDoc,"<a href=""https://www.minoritypostdoc.org/"" target=""_blank"">Minority PostDoc</a>",,"A website with resources on funding, fellowships, mentoring, and diversity issues for upcoming and current post-doctoral scholars.","STEMM, education, career",
Minority Serving Institutions Partnership Program (MSIPP),"<a href=""https://www.anl.gov/education/minority-serving-institutions-partnership-program"" target=""_blank"">Minority Serving Institutions Partnership Program (MSIPP)</a>",,"Offers internships to help develop our future workforce in critically important areas of science, engineering, technology, and mathematics (STEM).","STEMM, education",
