# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
Addiction Center,,"A referral service that provides information and resources about addiction,  addiction treatment practitioners, and facilities.",health,,thriv.life/AddCent,https://www.addictioncenter.com/
ADHD Actually,,"A body doubling membership program for virtual coworking, which also includes peer support. Membership fees are clearly marked. ","neurodivergence, support",,,https://adhdactually.com/
Advocates for Trans Equality: Know Your Rights,,"The A4TE's (formerly National Center for Transgender Equality, NCTE) topic-based legal information, including for employment, health care, housing, and immigration.","LGBTQ, gender identity, legal",,thriv.life/NCTE-Rights,https://transequality.org/know-your-rights
Advocates for Spectrum Knowledge (ASK),,"Blog and resources for autistic people put together by autistic people. Contains information about how to get a diagnosis, how to apply for disability, how to advocate for yourself, etc.","disability, general, support",,thriv.life/ASKRes,https://www.askautism.org/resource-center
Affirmation,,"Organization supporting LGBTQIA+ Mormons who are trying to understand their queerness and the church. Has online groups, resources, etc.","LGBTQ, religion",,thriv.life/Affirmation,https://affirmation.org/about/
After Silence,,"A site that hosts online message boards and chat rooms as well as resources and tesimonials for victims of sexual violence and rape. (Español, https://www.aftersilence.org/espanol.php)","mental health, coping, abuse",Español,thriv.life/AfterSilence,https://www.aftersilence.org/
AlterNation,,A private facebook support community group by the Plural Association for DID. For those with legal body age of 18+.,"mental health, support",,thriv.life/AltNat-FB,https://www.facebook.com/groups/powertotheplurals/
AMA: What Doctors Wish Patients Knew About Monkeypox,,"A quick overview of information on the monkeypox virus, has audio/listening option",MPX,,thriv.life/AMA-MPX,https://www.ama-assn.org/delivering-care/public-health/what-doctors-wish-patients-knew-about-monkeypox
American Chronic Pain Association,,"An organization that provides education and support for people with pain. Their website includes information about clinical trials, conditions and treatments, and pain management.","disability, education, support",,thriv.life/ACPA,https://www.theacpa.org/
American Trans Resource Hub,,"Organization by and for trans people that provides support groups, gender-affirming clothing, peer services, and a free binder program.","LGBTQ, gender identity, support",,thriv.life/ATRH,https://www.atrh.org/
Amputee Coalition,,An organization that advocates for and provides resources to people who have experienced amputations or were born with limb difference.,"disability, LGBTQ, support, health",,thriv.life/AmputeeCoal,https://www.amputee-coalition.org/
An Infinite Mind,,A non-profit dedicated to improving the lives of survivors with trauma based dissociation with a primary focus on Dissociative Identity Disorder. Also has a large collection of resources - websites + books,"mental health, education",,thriv.life/InfMind,https://www.aninfinitemind.com/
Anger Diary,,A means for reflecting on anger triggers and responses.,mental health,,thriv.life/AngerDiary,https://www.therapistaid.com/worksheets/anger-diary.pdf
Anti-depressant skills workbook,,"This book teaches you about depression and about antidepressant skills you can use to manage depression. Many language options, audio option.",mental health,,thriv.life/ADSkillsWB,https://d3mh72llnfrpe6.cloudfront.net/wp-content/uploads/2018/02/09210135/asw-english.pdf
Anti-Violence Project (AVP),"<a href=""tel:+1212-714-1141"">1.212.714.1141</a>","AVP empowers lesbian, gay, bisexual, transgender, queer, and HIV-affected communities and allies to end all forms of violence through organizing and education, and supports survivors through counseling and advocacy. Has a 24/7 hotline for those who have experienced or witnessed violence personally, or are worried about someone else who has. Also offers support in Spanish.","LGBTQ, general, hotline, abuse",Español,thriv.life/AVP,https://avp.org/get-help/call-our-hotline/
Anxiety and Depression Association of America Online Resources,,Online Resources on a variety of topics regarding to mental health.,mental health,,thriv.life/AnxDepAssoc,https://adaa.org/living-with-anxiety/ask-and-learn/resources
Anxiety Worksheets,,"Free worksheets for addressing anxiety concerns, such as unhelpful thoughts and negative self-talk.","mental health, coping",,thriv.life/AnxietyUW,https://depts.washington.edu/uwhatc/PDF/TF-%20CBT/pages/cbt_anxiety.html#
Arocalypse,,A forum to discuss and connect with others about aromanticism.,LGBTQ,,thriv.life/Arocalypse,https://www.arocalypse.com/
AroAce Discord Server,,Discord server for the members of the AroAce community containing channels to connect with others and resources for members,"LGBTQ, support",,,https://discord.gg/aroacecafe
Art Therapy,,"Digital activities page from Michael O'Mara Books, including a host of online colouring activities, quizzes, and downloadable extras. You can color these 'live' online or print out downloadable pages.","general, coping",,thriv.life/ArtTherapy,https://www.mombooks.com/mom/online-activities
Art Therapy Exercises,,"A list of 100 different art therapy suggestions, with links to tips and resources.","general, coping",,thriv.life/Art100,https://intuitivecreativity.typepad.com/expressiveartinspirations/100-art-therapy-exercises.html
Asexual Visibility and Education Network,,"Resources on asexuality, including FAQs for family and friends. Also has social/discussion/support forums","LGBTQ, education",,thriv.life/Ace,https://asexuality.org/
Asexuality Archive,,A collection of resources on asexuality.,LGBTQ,,thriv.life/AceArc,http://www.asexualityarchive.com/
Asian American Peer Counseling,,"Peer-based counseling, sliding scale / pay what you can. Centers queer / trans POC. Not institutionally affiliated or credientialed. Nice helpful webpage explaining their mission and how to access services. Not currently open for booking, please check.","AAPI, LGBTQ, mental health, non-carceral",,thriv.life/AAPC,http://asianpeercounseling.org/index.html
Asian Mental Health Collective,,"Directory of Asian therapists in the US and Canada. Their website also has resources, trainings, and community event listings.","AAPI, mental health",Canada,thriv.life/AMHC,https://www.asianmhc.org/
ASL CORE,,"A content library of discipline-specific signs in ASL for subjects including biology, computer science, engineering, organic chemistry, physics, and sustainability.","disability, STEMM, education",,thriv.life/ASLCore,https://aslcore.org/
Asperger / Autism Network (AANE),,"An organization supporting autistic people or similar neurodivergences by providing information, education, community, support, and advocacy. Can connect people to a few ongoing virtual support groups.","neurodivergence, education, support",Español,thriv.life/AANE,https://www.aane.org/
#ATTN: Looks offline Assistive Tech,,A database of assistive products for people people with disabilities.,"disability, support",,thriv.life/AssistTech,http://assistivetech.net/search/products_for_disability.php
Association for Pet Loss and Bereavement (APLB),,"Resources about pet grief, and a chat room and memorial space where people can share their lost furry friends and family.","mental health, coping, grief, pet",,,https://www.aplb.org/support/
Atticus,,Atticus is a free service that can help with SSI applications for disability once someone has been denied after submitting. They also help with the initial application of SSDI. the website has a quiz one can take to see what kind of support Atticus can offer in their specific situation.,disability,,,https://www.atticus.com/disability-benefits/home
Autism and Safety Toolkit,,A guide for family members and friends who want tips on how to help their autistic loved ones stay safe. Includes information on alternatives to calling the police/911 when in crisis and advocating for policy changes in policing,"neurodivergence, education",,,https://autisticadvocacy.org/wp-content/uploads/2017/11/Autism-and-Safety-Pt-3.pdf
Autistic Emergency Disclosure Cards,,"A PDF that someone can print out, fill out, and present during a situation where they are having a hard time communicating.","neurodivergence, education",,,https://autistichoya.net/wp-content/uploads/2013/10/autistic-hoyas-emergency-disclosure-cards.pdf
Autistic People of Color Fund,,"Provides direct support, mutual aid, and reparations by and for autistic people of color. Currently based in US, but provide global support. Includes an emergency funding request for those in crisis who need funds more quickly","neurodivergence, aid",,thriv.life/AutPoC,https://autismandrace.com/autistic-people-of-color-fund/
A Self Advocate's Guide to Gender-Affirming Care (ASAN),,This PDF guide includes specific information about how to seek gender affirming care and support (and how to handle possible barriers) as a disabled and/or autistic person.,"LGBTQ, neurodivergence, disability, education",,,https://autisticadvocacy.org/wp-content/uploads/2024/06/PL-Gender-Affirming-Care.pdf
Autistic Self-Advocacy Network (ASAN),,An organization run by and for autistic people that promotes self-advocacy and education and works to advance civil rights.,"neurodivergence, education",,thriv.life/ASAN,https://autisticadvocacy.org/
ASAN Guide for Self Advocacy for Disability,,A PDF guide designed to help people with disabilities find and use resources that empower us to live and be in charge of our own lives in our own homes and communities with the supports that we need.,"disability, neurodivergence, education",,,https://autisticadvocacy.org/resources/books/accessing-hcbs/
Autistic Women & Nonbinary Network,,"An organization providing support, community, and resources to Autistic women, girls, non-binary people, and people with marginalized genders.","neurodivergence, education, support",,thriv.life/AWN,https://awnnetwork.org/
Autistics Unmasked,,A free resource guide (emailed) for adults wondering if they are autistic and looking to navigate the clinical assessment process. Also offers a pilot service matching autistic folks with an autistic mentor/companion,"neurodivergence, education",,thriv.life/AutUnmask,https://autisticsunmasked.org/am-i-autistic/
Autism Society,,Resources for autistic individuals and their families.,"neurodivergence, general, support",,thriv.life/ASD-source,https://autismsociety.org/resources-by-topic/
Avoiding Ableist Language,,"This handout's primary purpose is to serve as a reference for linguistic microaggressions and everyday, casual ableism.","disability, neurodivergence, education",,thriv.life/AvoidAL,https://web.augsburg.edu/english/writinglab/Avoiding_Ableist_Language.pdf
Be My Eyes,,App (Android and iOS) that connects blind and low-vision individuals with sighted volunteers and companies through live video call in over 180 languages.,"disability, app",,thriv.life/BeMyEyes,https://www.bemyeyes.com/
Become An Ex,,"Informational site about quitting smoking or vaping, with resources like creating a customized quit plan.","general, health, substance use",Español,thriv.life/BecEx,https://www.becomeanex.org/
Bearable App,,"An app (Android and iOS) for mood, habit, and symptom tracking. Also has a paid premium subscription.","mental health, app",,thriv.life/Bearable,https://bearable.app/
Beat Eating Disorders,"UK Helpline: <a href=""tel:0808 801 0677"">0808.801.0677</a>, Studentline: <a href=""tel:0808 801 0811"">0808.801.0811</a>, Youthline: <a href=""tel:0808 801 0711"">0808.801.0711</a>","The UK's organization for addressing eating disorders. They offer several helplines, support is available by phone, email, or webchat (UK, Scotland, Wales, and Northern Ireland). Hours: 3pm-8pm (10am-3pm EST) M-F","mental health, health, hotline, disordered eating",UK,thriv.life/Beat,https://www.beateatingdisorders.org.uk/support-services/helplines
Beauty After Bruises,,"A nonprofit for adult survivors of childhood trauma who have CPTSD and/or dissociative trauma dissorders that offer financial aid for patients to receive therapy, inpatient treatment or other related services. They also develop the Therapy Box project for survivors with no access to a therapist at all to bring care to them as well directing to resources, care providers or books/other resources","mental health, support, education, PTSD",,,https://www.beautyafterbruises.org/
BeeLine Reader,,"A number of apps, extensions, and more that add a color gradient to text that can reduce screen fatigue and increase reading speed. Prices are clearly labeled, and they offer a student discount.","disability, education",,thriv.life/BeeLineRead,https://www.beelinereader.com/
Before You Go,,A know-your-rights-style PDF for trans autistic people going to doctors or hospitals.,"disability, LGBTQ, health",,thriv.life/BeforeYouGo,https://awnnetwork.org/wp-content/uploads/2020/10/Final-Version-Before-You-Go-Know-Your-Rights-Booklet.pdf
Best Friends Pet Loss Resources,,"A list of support groups, hotlines, books, and videos for coping with the loss of a pet.","mental health, coping, grief, pet",,,https://resources.bestfriends.org/article/grieving-loss-pet-resources-coping
#Beyond My Battle,,"Free, online support groups for patients and caregivers managing any kind of disability or illness.","disability, support",,thriv.life/BeyondBattle,https://www.beyondmybattle.org/newsupportgroups
Believe Out Loud,,"A community that affirms that ALL people are worthy of G-d's love, with resources for finding affirming faith communities.","LGBTQ, religion",,thriv.life/BelieveOutLoud,https://www.believeoutloud.com/
Beyond OCD,,"A wealth of useful information about OCD, its symptoms, effects, treatments, and more.","mental health, education",,thriv.life/BeyondOCD,https://beyondocd.org/
Beyond the Professoriate,,"Resources for helping graduate students and people with PhDs have meaningful careers in industry, non-profits, higher education administration, faculty, and the private sector.","STEMM, career",,thriv.life/BeyondProf,https://beyondprof.com/
Bi.org,,A website dedicated towards to connect bi people around the world and provide resources about bisexuality and coming out.,"LGBTQ, education",,thriv.life/BiOrg,https://bi.org/en
BIPOC Eating Disorder Provider Database,,A database of BIPOC eating disorder providers (dieticians and therapists).,"Black, Indigenous, Latinx, PoC, mental health, disordered eating, providers",,thriv.life/EDDB,https://docs.google.com/spreadsheets/d/1oo4zMUkDlaZM63nSYqZVlFglj0XC9izfl30ybPtxJsQ/edit#gid=0
Birth Control Across the Gender Spectrum,,A PDF guide comparing and contrasting different birth control methods using gender-inclusive language.,"LGBTQ, health",,thriv.life/BC,https://www.reproductiveaccess.org/wp-content/uploads/2018/06/bc-across-gender-spectrum.pdf
Birthing and Breast or Chestfeeding Trans People and Allies,,"Facebook group with information and experiences about pregnancy, birth, and nursing among trans and genderfluid/neutral people.","LGBTQ, gender identity, gestation, health",,thriv.life/TransReproSupport,https://www.facebook.com/groups/TransReproductiveSupport/
Bitwarden,,A free and open-source password manager with end-to-end encryption. Includes a premium subscription option ($10 annually) as well as plans for families and businesses,"general, online safety",,thriv.life/Bitwarden,https://bitwarden.com/
Black Emotional and Mental Health Collective,,"Resources, tool kits, and training dedicated to the emotional and mental health and healing of Black communities. Also offers peer support spaces and grants","Black, mental health, funding",,thriv.life/BEAM,https://www.beam.community/
Black Remote She,," A community for Black queer and trans women, nonbinary people and allies interested in working remotely. They maintain a job board and a free email course to help build job skills.","Black, LGBTQ, gender identity, PoC",,,https://www.blackremoteshe.com/
Black Trans Advocacy Coalition,"<a href=""tel:+1-855-624-7715"">1.855.624.7715</a>",The only social justice organization led by black trans people to collectively address the inequities faced in the black transgender human experience. Offers a Transgender Support Line on Tuesday through Thursday from 10am &ndash; 2pm CT.,"Black, LGBTQ, gender identity",,thriv.life/BT,https://blacktrans.org/
#Black Trans COVID-19 Community Response Grant,,Micro grants for trans people of color.,"Black, COVID-19, aid",,thriv.life/C19-BTgrant,https://blacktrans.org/coronavirus-grant/
#Black Trans Free COVID-19 Care Packages,,Care packages with personal protective equipment for trans people of color.,"Black, COVID-19, aid",,thriv.life/C19-BTcare,https://blacktrans.org/services/care-package/
Blackboard Ally File Transformer,,"Converts from common file formats to more accessible file formats, including electronic braille and Beeline Reader.","disability, COVID-19",,thriv.life/C19-BBally,https://ally.ac/covid19/
Blackfulla Alt2Su,,Blackfulla Alt2Su is a free 16+ alternatives to suicide group only for First Nations / Aboriginal & Torres Strait Islander peoples. If you want to join an Alt2Su group but aren't First Nations please message the instagram page (@blackfullaaltsu) and they can show other groups that are available. They offer an anonymous form to get in contact but you can also email (blackfullaaltsu@gmail.com) or message the instagram for information and how to join.,"mental health, non-carceral",,,https://docs.google.com/forms/d/e/1FAIpQLSenKyy-tek7ddpjlg0RAxeT19T-UIBgEMnru-VUGQJ7rU7p4w/viewform
Black Girls Health Foundation,,"Creates pathways to improve the health of black women and girls through education, engagement, and empowerment.","Black, health, education",,thriv.life/BGHF,https://24y.1bb.myftpupload.com/
Black Lives Matter Meditations,,Audio-based meditations for healing racial trauma and cultivating an anti-racist mindset by Dr. Candice Nicole. No longer actively updating.,"Black, mental health, coping",,thriv.life/BLM-Meditations,https://www.drcandicenicole.com/post/2016-07-black-lives-matter-meditatio
"Black Trans Men, Inc.",,"Organization with top surgery grants for Black trans men, as well as a mentoring program and support group.","Black, LGBTQ, gender identity, funding, support",,thriv.life/BTMI,https://blacktransmen.org/
Blind Scientist Tools,,"A list of resources for navigating STEMM as a blind scientist. Different categories include management software, tools for reading math, and molecular visualization.","disability, STEMM, support",,thriv.life/BlindSciTools,http://monaminkara.com/blind-scientist-tools/
Bloom,,"Provides free video courses, guided grounding activities, reflective activities, and 1:1 messaging (not immediate) for folks healing from gender-based violence","mental health, coping, support",,,https://bloom.chayn.co/
Bisexual Resource Center,,"Provides resources, support, and celebration to the bi+ community (bisexual, pansexual, and queer). Offers a number of brochures and tips on coming out, sexual and mental health, inclusion, and intersectionality.","LGBTQ, education",,thriv.life/BiRes,https://biresource.org/
Body Dysmorphia/ Body Image Chat Discord,,a Discord based community for those suffering with body image problems and/or body dysmorphia,"mental health, support",,,https://discord.me/bddchat
Body Dysmorphic Disorder (BDD) Foundation,,An organization providing resources and information for people with body dysmorphic disorder.,"mental health, education, coping",,thriv.life/BDD,https://bddfoundation.org/
Boris Lawrence Henson Foundation,,"An organization committed to changing perception of mental illness within the African American community. They have a free mental wellness support program that gives 5 free therapy sessions, among other things.","Black, mental health",,thriv.life/BLHF,https://borislhensonfoundation.org/
Boys Town National Hotline,"<a href=""tel:+1800-448-3000"">1.800.448.3000</a> or text VOICE to <a href=""sms:20121&body=VOICE"">20121 </a>",A free resource and counseling service that assists youth and parents 24/7. Offers support in Spanish and over 100 other languages through interpretation services.,"under 18, hotline, parent",Español,thriv.life/BoysTown,https://www.boystown.org/hotline/Pages/default.aspx
BPD Video,,Resources ranging from videos of people with BPD talking about their experiences to online support groups and information on seeking treatment for BPD.,"mental health, education",,thriv.life/BPDVid,https://www.bpdvideo.com/borderline-personality-disorder-online/communities
Brain Injury Association of America,,Training and resources for people affected by brain injuries.,"health, mental health, education",,thriv.life/BIA,https://www.biausa.org/
Brave App,,An app (Android and iOS) for overdose detection by and for people who use drugs. The app requires an opt-in approach for emergency services to be contacted.,"app, substance use, harm reduction, non-carceral",,,https://www.brave.coop/overdose-detection-app
Budget Bytes,,A website with recipes for cooking and meal prepping on a budget.,general,,thriv.life/BudgetBytes,https://www.budgetbytes.com/
<i>Bueno y Barato</i> libro de cocina,,A free PDF of the Good and Cheap cookbook translated into Spanish. This cookbook is for eating well on less than $4 per day.,general,Español,thriv.life/BuenoYBarato,https://books.leannebrown.com/bueno-y-barato.pdf
Build a Kit,,List of items to include in an emergency preparedness kit. Several language options.,"general, disaster",Español,thriv.life/Kit,https://www.ready.gov/kit
Butterfly Hug,,"The ""butterfly hug"" bilateral stimulation grounding technique, intended to help calm the nervous system.",general,,thriv.life/BFHug,https://youtu.be/iGGJrqscvtU
Cake,,"End-of-life planning with information on living wills, health care proxy forms, and funeral agent forms for each US state.","grief, end-of-life, legal",,thriv.life/CakeEOL,https://www.joincake.com/gooddeath/
Call BlackLine,"<a href=""tel:+1800-604-5841"">1.800.604.5841</a>","A hotline dedicated to people in crisis or who have an interaction with law enforcement or vigilantes. Currently operating 9am-11pm ET Monday-Friday, Saturday and Sunday 8pm-Midnight ET. They also have an app (Android and iOS).","app, Black, Indigenous, hotline, non-carceral",,thriv.life/BlackLine,https://www.callblackline.com/frequently-asked-questions
Call for Change Helpline,"<a href=""tel:+1877-898-3411"">1.877.898.3411</a>"," A national helpline in the US (not crisis line) which supports abusers or people who are concerned about being abusive in a relationship. Language translation services available. Open 10am - 10pm ET every day, or by emailing <a href=""mailto:help@acallforchangehelpline.org"">help@acallforchangehelpline.org</a>.","hotline, abuse",Español,thriv.life/Call4Change,https://acallforchangehelpline.org/
Calling Up Justice,,"An organization that facilitates digital spaces for co-working and meaning making and socializing. They have weekly streams and co-working spaces, with some specifically for people with disabilities.","disability, support",,,https://callingupjustice.com/spaces/
Calm Harm App,,Calm Harm provides tasks to help you resist or manage the urge to self-harm. Calm Harm is an app developed for teenage mental health using the basic principles of an evidence-based therapy called Dialectical Behavioral Therapy (DBT).,"mental health, app, self-harm",,thriv.life/CalmHarm,https://calmharm.stem4.org.uk/
Campus Pride,,"Programs and services to create safer, more inclusive college campuses.","LGBTQ, general, education",,thriv.life/CampusPride,https://www.campuspride.org/
canDID expression,,a community of people with trauma-based dissociation who explore and share lived experience through writing and other expressive arts. Various art and writing-focused groups with small fees and scholarships potentially available upon request. ,"mental health, support",,,https://candidexpressions.org/
CapTel,,A captioned telephone that is federally funded. Requires certification from a medical professional.,"disability, support",,thriv.life/CapTel,https://www.captel.com/
Caregiver Action Network,"<a href=""tel:+855-227-3640"">1.855.227.3640</a>","A non-profit organization providing education and resources to people who care for loved ones with chronic conditions, disabilities, disease, or the elderly. They have a helpline from M-F 8am-7pm ET. Helpline is available over phone or live chat (accessible on their site)","general, support",,thriv.life/CAN,https://caregiveraction.org/
Caring for Yourself to Care for Others Zine,,"A burnout and vicarious trauma toolkit in PDF form that talks about ways to take care of yourself and why that is important, so you are able to process your own trauma and care for others.",,,thriv.life/C4YZine,https://drive.google.com/drive/folders/1b4ozwgZh7Fqxm3piohww444Q67hOpVPI
Carson's Village,,"Information about making funeral arrangements after the death of a loved one, and provides a timeline and links to resources. Also offers help in navigating the loss of a loved one---will make a website to help track tasks and donations for free","general, grief, end-of-life",,thriv.life/Carson,https://carsonsvillage.org/
Centerlink,,"Network of LGBTQ+ community centers. They have a map for finding local support, as well as a job board.","LGBTQ, general, career",,thriv.life/Centerlink,https://www.lgbtqcenters.org/
Centre for Clinical Interventions: Mental Health Worksheets and Info Sheets ,,"Various handouts and workbooks on topics such as anxiety, self-esteem, sleep, bipolar, depression and more for both people seeking support and providers","mental health, coping, education, providers",website is from the govt of Western Australia,,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself
Center for Discovery,,"Free, virtual support groups for anyone who has been impacted by an eating disorder or mental health. Groups include BIPOC, siblings and partners, loved ones, binge eating disorder, and community meal support.","health, mental health, support, disordered eating",,thriv.life/C4D,https://centerfordiscovery.com/groups/
Centering Women of Color in STEM,,"A research project designed to address the underrepresentation of women of color in physics, computer science, math and related fields. Their website has data on where women of color successfully completed their Bachelor's degrees.","general, education",,thriv.life/CWCS,https://women-of-color-in-stem.shinyapps.io/portal/
Centers for Disease Control and Prevention (CDC),,Publishes the guidelines people should adhere to and maintains up-to-date information about current health threats.,COVID-19,,thriv.life/CDC,https://www.cdc.gov/
CDC Monkeypox Information,,"Case and trend tracking for the the monkeypox outbreak within the US, as well as clinical information. No longer updated as of 1/10/2024 due to low-level transmission in the US; all old information is still up",MPX,,thriv.life/CDC2022MPX,https://www.cdc.gov/poxvirus/monkeypox/response/2022/index.html
Changing Lives by Integrating Mind and Body (CLIMB) Podcast,,A podcast that helps to incorporate mindfulness and stress management in your everyday life. Available in English and Spanish,"mental health, coping",Español,thriv.life/CLIMB,https://www.cigna.com/individuals-families/health-wellness/climb-mindfulness-podcasts
Child Care,,"Government site for finding state-specific local resources on child care, health and social services, financial assistance, support for children with special needs, and more.","general, parent",,thriv.life/ChildCare,https://www.childcare.gov/index.php/state-resources-home
Childhelp National Child Abuse Hotline,"<a href=""tel:+1800-422-4453"">1.800.4.A.CHILD (2.24453)</a>","A 24/7, free and confidential hotline for child abuse victims, parents, and concerned individuals serving the US and Canada. They support interpretation for 170 languages. Available via call or text (same number as listed) and live chat (available on site)","under 18, hotline, parent, abuse",,thriv.life/Childhelp,https://www.childhelp.org/hotline/
Children and Adults with ADD/ADHD (CHADD),,A clearinghouse for information on ADHD and offers support and advocacy.,"disability, support",Español,thriv.life/CHADD,https://chadd.org/
Chronically Academic,,A network of academics with disabilities and chronic conditions looking to build a network of mutual support and resources.,"academia, disability, education, support",,,https://chronicallyacademic.org/
Científico Latino,,"Organization that provides mentorship, open-access resources on scholarships, fellowships and blog posts on professional development to undergraduate, graduate, and professional students.","STEMM, education, Latinx",,thriv.life/CientLatin,https://www.cientificolatino.com
Científico Latino Graduate Student Mentorship Initiative,,A mentorship program intended to connect underrepresented students applying to graduate programs with STEM professionals that have been through the graduate school process.,"STEMM, education, Latinx, mentoring",,thriv.life/CientLatinGSMI,https://www.cientificolatino.com/gsmi
Cincy Warmline,"<a href=""tel:+1513-621-9276"">1.513.621.WARM (9276)</a>","A 24/7 warm line for low-level crisis, help with daily living activities, and peer support.","hotline, support",,thriv.life/Cincy,https://www.cincywarmline.org/when-to-call/
Club FTM,,A website built for trans guys and non-binary people to research medical transition. It has a surgeon directory and result photos. Requires a free account to access all content.,"LGBTQ, gender identity, health, providers",,thriv.life/ClubFTM,https://clubftm.com/
COLAGE: Children of Lesbians and Gays Everywhere,,"An organization that supports children of LGBTQ+ parents and caregivers, and provides a network of peers and supporters.",LGBTQ,,thriv.life/COLAGE,https://www.colage.org/
College Guide for LGBTQ Students,,"Resources for LGBTQ+ specific scholarships, tips for determining if a college is LGBTQ+ friendly, and more.","LGBTQ, education",,thriv.life/LGBTQ-college,https://www.affordablecolleges.com/resources/lgbtq-college-resources/
Color Me PhD,,"Free, all-ages coloring books featuring PhD research in science and engineering. ","general, coping",,thriv.life/ColorMePhD,https://www.colormephd.org/
Coming Off Psychiatric Medication,,Information and support for safely coming off medication.,mental health,,thriv.life/PsychMeds,https://www.mind.org.uk/information-support/drugs-and-treatments/medication-coming-off/deciding-to-come-off-medication/
Coming Out Handbook,,Book about exploring identity and think through how to share their identities with others. Aimed specifically at young people but broadly applicable,"LGBTQ, education",,thriv.life/ComingOutHandbook,https://www.thetrevorproject.org/wp-content/uploads/2019/10/Coming-Out-Handbook.pdf
